,entity_id,label,description,example
45,PEL.000036,triggers,initiate or set off,
46,PEL.000037,upregulates,"increase the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by upregulation",
48,RO.0000053,has characteristic,Inverse of characteristic_of,
49,RO.0000056,participates in,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",
50,RO.0000057,has participant,"a relation between a process and a continuant, in which the continuant is somehow involved in the process",
51,RO.0000058,is concretized as,"A relationship between a generically dependent continuant and a specifically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. A generically dependent continuant may be concretized as multiple specifically dependent continuants.",
52,RO.0000059,concretizes,"A relationship between a specifically dependent continuant and a generically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. Multiple specifically dependent continuants can concretize the same generically dependent continuant.",
56,RO.0000085,has function,"a relation between an independent continuant (the bearer) and a function, in which the function specifically depends on the bearer for its existence",
57,RO.0000086,has quality,"a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence",
58,RO.0000087,has role,"a relation between an independent continuant (the bearer) and a role, in which the role specifically depends on the bearer for its existence",
59,RO.0000091,has disposition,"a relation between an independent continuant (the bearer) and a disposition, in which the disposition specifically depends on the bearer for its existence",
61,RO.0001000,derives from,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",
62,RO.0001001,derives into,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",
66,RO.0001022,has allergic trigger,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",
67,RO.0001023,has autoimmune trigger,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is part of the host itself, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",
68,RO.0001025,located in,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",
70,RO.0002001,aligned with,,
71,RO.0002002,has 2D boundary,"a relation between a material entity and a 2D immaterial entity (the boundary), in which the boundary delimits the material entity",
73,RO.0002004,tracheates,The relationship that holds between a trachea or tracheole and an antomical structure that is contained in (and so provides an oxygen supply to).,
76,RO.0002007,bounding layer of,"X outer_layer_of Y iff:
. X :continuant that bearer_of some PATO:laminar
. X part_of Y
. exists Z :surface
. X has_boundary Z
. Z boundary_of Y

has_boundary: http://purl.obolibrary.org/obo/RO_0002002
boundary_of: http://purl.obolibrary.org/obo/RO_0002000",
77,RO.0002008,coincident with,A relation that holds between two linear structures that are approximately parallel to each other for their entire length and where either the two structures are adjacent to each other or one is part of the other.,
78,RO.0002009,cell expresses,"A relation that applies between a cell(c) and a gene(g) , where the process of 'transcription, DNA templated (GO_0006351)' is occuring in in cell c and that process has input gene g.",
80,RO.0002011,regulates transport of,A relationship that holds between a  process that regulates a transport process and the entity transported by that process.,
81,RO.0002012,occurrent part of,A part of relation that applies only between occurrents.,
86,RO.0002017,has component activity,,
87,RO.0002018,has component process,"w 'has process component' p if p and w are processes,  w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type.",
88,RO.0002019,has ligand,"A relationship that holds between between a receptor and an chemical entity, typically a small molecule or peptide, that carries information between cells or compartments of a cell and which binds the receptor and regulates its effector function.",
89,RO.0002020,transports,Holds between p and c when p is a transport process or transporter activity and the outcome of this p is to move c from one location to another.,
90,RO.0002021,occurs across,"A relationship between a process and a barrier, where the process occurs in a region spanning the barrier. For cellular processes the barrier is typically a membrane. Examples include transport across a membrane and membrane depolarization.",
91,RO.0002022,directly regulated by,,
94,RO.0002025,has effector activity,"A 'has effector activity' B if A and B are GO molecular functions (GO_0003674),  A 'has component activity' B and B is the effector (output function) of B.  Each compound function has only one effector activity.",
99,RO.0002084,during which ends,,
100,RO.0002085,encompasses,,
101,RO.0002086,ends after,,
102,RO.0002087,immediately preceded by,,
103,RO.0002088,during which starts,,
104,RO.0002089,starts before,,
105,RO.0002090,immediately precedes,,
106,RO.0002091,starts during,,
107,RO.0002092,happens during,,
108,RO.0002093,ends during,,
109,RO.0002100,has soma location,Relation between a neuron and a material anatomical entity that its soma is part of.,
110,RO.0002101,fasciculates with,"relationship between a neuron and a neuron projection bundle (e.g.- tract or nerve bundle) that one or more of its projections travels through.
",
112,RO.0002103,synapsed by,Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. ,
120,RO.0002111,releases neurotransmitter,,
125,RO.0002120,synapsed to," Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.
        ",
126,RO.0002121,dendrite synapsed in,"Relation between a neuron and some structure  (e.g.- a brain region) in which its dendrite receives synaptic input.

	",
128,RO.0002131,overlaps,x overlaps y if and only if there exists some z such that x has part z and z part of y,
130,RO.0002134,innervates,"Relation between a 'neuron projection bundle' and a region in which one or more of its component neuron projections either synapses to targets or receives synaptic input.
T innervates some R
Expands_to: T has_fasciculating_neuron_projection that synapse_in some R.",
132,RO.0002151,partially overlaps,"x partially overlaps y iff there exists some z such that z is part of x and z is part of y, and it is also the case that neither x is part of y or y is part of x",
135,RO.0002158,shares ancestor with,two individual entities d1 and d2 stand in a shares_ancestor_with relation if and only if there exists some a such that d1 derived_by_descent_from a and d2 derived_by_descent_from a.,
139,RO.0002163,spatially disjoint from,A is spatially_disjoint_from B if and only if they have no parts in common,
140,RO.0002170,connected to,"a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b",
141,RO.0002176,connects,"c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.",
143,RO.0002178,supplies,"Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy.",
144,RO.0002179,drains,"Relation between an collecting structure and another structure, where the collecting structure acts as a conduit channeling fluid, substance or energy away from the other structure.",
145,RO.0002180,has component,"w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type.",
146,RO.0002200,has phenotype,"A relationship that holds between a biological entity and a phenotype. Here a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). The subject of this relationship can be an organism (where the organism has the phenotype, i.e. the qualities inhere in parts of this organism), a genomic entity such as a gene or genotype (if modifications of the gene or the genotype causes the phenotype), or a condition such as a disease (such that if the condition inheres in an organism, then the organism has the phenotype).",
148,RO.0002202,develops from,x develops from y if and only if either (a) x directly develops from y or (b) there exists some z such that x directly develops from z and z develops from y,
149,RO.0002203,develops into,inverse of develops from,
151,RO.0002205,has gene product,x has gene product y if and only if x is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from y,
152,RO.0002206,expressed in,"x expressed in y if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and the transcription of x is part of the gene expression process (iii) x is a mature gene product such as a protein, and x was translated or otherwise processes from a transcript that was transcribed as part of this gene expression process",
153,RO.0002207,directly develops from,"Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participate in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of x comes from y, and the start of x is coincident with or after the end of y.",
155,RO.0002209,has parasitoid,inverse of parasitoid of,
156,RO.0002210,directly develops into,inverse of directly develops from,
157,RO.0002211,regulates,"p regulates q iff p is causally upstream of q, the execution of p is not constant and varies according to specific conditions, and p influences the rate or magnitude of execution of q due to an effect either on some enabler of q or some enabler of a part of q.",
158,RO.0002212,negatively regulates,"p negatively regulates q iff p regulates q, and p decreases the rate or magnitude of execution of q.",
159,RO.0002213,positively regulates,"p positively regulates q iff p regulates q, and p increases the rate or magnitude of execution of q.",
160,RO.0002214,has prototype,"x has prototype y if and only if x is an instance of C and y is a prototypical instance of C. For example, every instance of heart, both normal and abnormal is related by the has prototype relation to some instance of a ""canonical"" heart, which participates in blood circulation.",
163,RO.0002219,surrounded by,"x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x",
165,RO.0002221,surrounds,inverse of surrounded by,
166,RO.0002222,temporally related to,,
167,RO.0002223,starts,inverse of starts with,
168,RO.0002224,starts with,"x starts with y if and only if x has part y and the time point at which x starts is equivalent to the time point at which y starts. Formally: α(y) = α(x) ∧ ω(y) < ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
170,RO.0002226,develops in,x develops_in y if x is located in y whilst x is developing,
171,RO.0002227,obligate parasite of,A sub-relation of parasite-of in which the parasite that cannot complete its life cycle without a host.,
173,RO.0002229,ends,inverse of ends with,
174,RO.0002230,ends with,"x ends with y if and only if x has part y and the time point at which x ends is equivalent to the time point at which y ends. Formally: α(y) > α(x) ∧ ω(y) = ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
175,RO.0002231,has start location,x 'has starts location' y if and only if there exists some process z such that x 'starts with' z and z 'occurs in' y,
176,RO.0002232,has end location,x 'has end location' y if and only if there exists some process z such that x 'ends with' z and z 'occurs in' y,
177,RO.0002233,has input,"p has input c iff: p is a process, c is a material entity, c is a participant in p, c is present at the start of p, and the state of c is modified during p.",
178,RO.0002234,has output,"p has output c iff c is a participant in p, c is present at the end of p, and c is not present in the same state at the beginning of p.",
182,RO.0002238,has component participant,X 'has component participant' Y means X 'has participant' Y and there is a cardinality constraint that specifies the numbers of Ys.,
183,RO.0002240,has exposure receptor,"A broad relationship between an exposure event or process and any entity (e.g., an organism, organism population, or an organism part) that interacts with an exposure stimulus during the exposure event.",
184,RO.0002241,has exposure stressor,"A broad relationship between an exposure event or process and any agent, stimulus, activity, or event that causes stress or tension on an organism and interacts with an exposure receptor during an exposure event.",
185,RO.0002242,has exposure route,A broad relationship between an exposure event or process and a process by which the exposure stressor comes into contact with the exposure receptor,
188,RO.0002245,over-expressed in,"g is over-expressed in t iff g is expressed in t, and the expression level of g is increased relative to some background.",
189,RO.0002246,under-expressed in,"g is under-expressed in t iff g is expressed in t, and the expression level of g is decreased relative to some background.",
190,RO.0002248,has active ingredient,"A relationship that holds between a substance and a chemical entity, if the chemical entity is part of the substance, and the chemical entity forms the biologically active component of the substance.",
192,RO.0002252,connecting branch of,"b connecting-branch-of s iff b is connected to s, and there exists some tree-like structure t such that the mereological sum of b plus s is either the same as t or a branching-part-of t.",
193,RO.0002253,has connecting branch,inverse of connecting branch of,
195,RO.0002255,developmentally contributes to,inverse of has developmental contribution from,
196,RO.0002256,developmentally induced by,"t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor material anatomical entity type T to T', where T' develops_from T",
197,RO.0002257,developmentally induces,Inverse of developmentally induced by,
198,RO.0002258,developmentally preceded by,"Candidate definition: x developmentally related to y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p",
199,RO.0002260,has biological role,c has-biological-role r iff c has-role r and r is a biological role (CHEBI:24432),
200,RO.0002261,has application role,c has-application-role r iff c has-role r and r is an application role (CHEBI:33232),
201,RO.0002262,has chemical role,c has-chemical-role r iff c has-role r and r is a chemical role (CHEBI:51086),
202,RO.0002263,acts upstream of,"c acts upstream of p if and only if c enables some f that is involved in p' and p' occurs chronologically before p, is not part of p, and affects the execution of p. c is a material entity and f, p, p' are processes.",
205,RO.0002286,developmentally succeeded by,Inverse of developmentally preceded by,
207,RO.0002291,ubiquitously expressed in,"x is ubiquitously expressed in y if and only if x is expressed in y, and the majority of cells in y express x",
208,RO.0002292,expresses,"y expresses x if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and x was transcribed from a gene as part of the gene expression process (iii) x is a mature gene product (protein or RNA), and x was translated or otherwise processed from a transcript that was transcribed as part of the gene expression process.",
209,RO.0002293,ubiquitously expresses,inverse of ubiquiotously expressed in,
218,RO.0002303,has habitat,"x 'has habitat' y if and only if: x is an organism, y is a habitat, and y can sustain and allow the growth of a population of xs.",
221,RO.0002309,has exposure stimulus,"A relationship between an exposure event or process and any agent, stimulus, activity, or event that causally effects an organism and interacts with an exposure receptor during an exposure event.",
226,RO.0002320,evolutionarily related to,A relationship that holds via some environmental process,
227,RO.0002321,ecologically related to,A relationship that is mediated in some way by the environment or environmental feature (ENVO:00002297),
228,RO.0002322,confers advantage in,,
229,RO.0002323,mereotopologically related to,A mereological relationship or a topological relationship,
230,RO.0002324,developmentally related to,A relationship that holds between entities participating in some developmental process (GO:0032502),
231,RO.0002325,colocalizes with,a colocalizes_with b if and only if  a is transiently or peripherally associated with b[GO].,
232,RO.0002326,contributes to,,
233,RO.0002327,enables,c enables p iff c is capable of p and c acts to execute p.,
234,RO.0002328,functionally related to,"A grouping relationship for any relationship directly involving a function, or that holds because of a function of one of the related entities.",
236,RO.0002330,genomically related to,"holds between two entities when some genome-level process such as gene expression is involved. This includes transcriptional, spliceosomal events. These relations can be used between either macromolecule entities (such as regions of nucleic acid) or between their abstract informational counterparts.",
237,RO.0002331,involved in,"c involved_in p if and only if c enables some process p', and p' is part of p",
238,RO.0002332,regulates levels of,p regulates levels of c if p regulates some amount (PATO:0000070) of c,
239,RO.0002333,enabled by,inverse of enables,
240,RO.0002334,regulated by,inverse of regulates,
241,RO.0002335,negatively regulated by,inverse of negatively regulates,
242,RO.0002336,positively regulated by,inverse of positively regulates,
246,RO.0002340,imports,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the start location of c is part of the region that surrounds s.",
251,RO.0002345,exports,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the end location of c is part of the region that surrounds s.",
255,RO.0002351,has member,has member is a mereological relation between a collection and an item.,
262,RO.0002360,has dendrite location,,
263,RO.0002371,attached to,"a is attached to b if and only if a and b are discrete objects or object parts, and there are physical connections between a and b such that a force pulling a will move b, or a force pulling b will move a",
264,RO.0002372,has muscle origin,"m has_muscle_origin s iff m is attached_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to.",
265,RO.0002373,has muscle insertion,"m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.",
272,RO.0002380,branching part of,x is a branching part of y if and only if x is part of y and x is connected directly or indirectly to the main stem of y,
281,RO.0002400,has direct input,"p has direct input c iff c is a participant in p, c is present at the start of p, and the state of c is modified during p.",
284,RO.0002407,indirectly positively regulates,p indirectly positively regulates q iff p is indirectly causally upstream of q and p positively regulates q.,
285,RO.0002409,indirectly negatively regulates,p indirectly negatively regulates q iff p is indirectly causally upstream of q and p negatively regulates q.,
286,RO.0002410,causally related to,"relation that links two events, processes, states, or objects such that one event, process, state, or object (a cause) contributes to the production of another event, process, state, or object (an effect) where the cause is partly or wholly responsible for the effect, and the effect is partly or wholly dependent on the cause.",
289,RO.0002413,provides input for,"p provides input for q iff p is immediately causally upstream of q, and there exists some c such that p has_output c and q has_input c.",
292,RO.0002424,differs in,,
300,RO.0002432,is active in,"c executes activity in d if and only if c enables p and p occurs_in d.  Assuming no action at a distance by gene products, if a gene product enables (is capable of) a process that occurs in some structure, it must have at least some part in that structure.",
302,RO.0002434,interacts with,A relationship that holds between two entities in which the processes executed by the two entities are causally connected.,
303,RO.0002435,genetically interacts with,,
304,RO.0002436,molecularly interacts with,An interaction relationship in which the two partners are molecular entities that directly physically interact with each other for example via a stable binding interaction or a brief interaction during which one modifies the other.,
305,RO.0002437,biotically interacts with,An interaction relationship in which at least one of the partners is an organism and the other is either an organism or an abiotic entity with which the organism interacts.,
306,RO.0002438,trophically interacts with,An interaction relationship in which the partners are related via a feeding relationship.,
307,RO.0002439,preys on,"An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members",
308,RO.0002440,symbiotically interacts with,A biotic interaction in which the two organisms live together in more or less intimate association.,
309,RO.0002441,commensually interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which one benefits and the other is unaffected (GO).,
310,RO.0002442,mutualistically interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other (GO).,
313,RO.0002445,parasitized by,Inverse of parasite of,
318,RO.0002451,transmitted by,A relationship that holds between a disease and organism,
319,RO.0002452,has symptom,A relation that holds between a disease or an organism and a phenotype,
321,RO.0002454,has host,"X 'has host' y if and only if: x is an organism, y is an organism, and x can live on the surface of or within the body of y",
322,RO.0002455,pollinates,,
323,RO.0002456,pollinated by,,
324,RO.0002457,acquires nutrients from,Inverse of provides nutrients for,
325,RO.0002458,preyed upon by,inverse of preys on,
326,RO.0002459,is vector for,,
327,RO.0002460,has vector,,
331,RO.0002465,is symbiosis,,
332,RO.0002466,is commensalism,,
333,RO.0002467,is mutualism,,
334,RO.0002468,is parasitism,,
335,RO.0002469,provides nutrients for,A biotic interaction where a material entity provides nutrition for an organism.,
336,RO.0002470,eats,A biotic interaction where one organism consumes a material entity through a type of mouth or other oral opening.,
337,RO.0002471,is eaten by,Inverse of eats,
338,RO.0002472,is evidence for,"A relationship between a piece of evidence a and some entity b, where b is  an information content entity, material entity or process, and 
the a supports either the existence of b, or the truth value of b.",
339,RO.0002473,composed primarily of,x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.,
344,RO.0002480,ubiquitinates,An interaction relation between x and y in which x catalyzes a reaction in which one or more ubiquitin groups are added to y,
345,RO.0002481,is kinase activity,,
346,RO.0002482,is ubiquitination,,
347,RO.0002485,receives input from,,
348,RO.0002486,sends output to,,
350,RO.0002488,existence starts during,x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).,
351,RO.0002489,existence starts with,x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).,
352,RO.0002490,existence overlaps,x existence overlaps y if and only if either (a) the start of x is part of y or (b) the end of x is part of y. Formally: x existence starts and ends during y iff (α(x) >= α(y) & α(x) <= ω(y)) OR (ω(x) <= ω(y) & ω(x) >= α(y)),
354,RO.0002492,existence ends during,x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).,
355,RO.0002493,existence ends with,x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).,
362,RO.0002502,depends on,,
364,RO.0002505,has intermediate,"p has intermediate c if and only if p has parts p1, p2 and p1 has output c, and p2 has input c",
366,RO.0002507,determined by,"s determined by f if and only if s is a type of system, and f is a material entity that is part of s, such that f exerts a strong causal influence on the functioning of s, and the removal of f would cause the collapse of s.",
367,RO.0002508,determines,inverse of determined by,
369,RO.0002510,transcribed from,x is transcribed from y if and only if x is synthesized from template y,
370,RO.0002511,transcribed to,inverse of transcribed from,
372,RO.0002513,ribosomally translates to,inverse of ribosomal translation of,
373,RO.0002514,sequentially related to,A relation that holds between two entities that have the property of being sequences or having sequences. ,
375,RO.0002516,has start sequence,"x has start sequence y if the start of x is identical to the start of y, and x has y as a subsequence",
377,RO.0002518,has end sequence,"x has end sequence y if the end of x is identical to the end of y, and x has y as a subsequence",
381,RO.0002522,bounds sequence of,"x bounds the sequence of y iff the upstream-most part of x is upstream of or coincident with the upstream-most part of y, and the downstream-most part of x is downstream of or coincident with the downstream-most part of y",
383,RO.0002524,has subsequence,x has subsequence y iff all of the sequence parts of y are sequence parts of x,
384,RO.0002525,is subsequence of,inverse of has subsequence,
391,RO.0002551,has skeleton,A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.,
394,RO.0002554,hyperparasitized by,inverse of hyperparasite of,
397,RO.0002557,has pathogen,A host interaction where the smaller of the two members of a symbiosis causes a disease in the larger member,
398,RO.0002558,has evidence,inverse of is evidence for,
399,RO.0002559,causally influenced by,,
403,RO.0002566,causally influences,"The entity or characteristic A is causally upstream of the entity or characteristic B, A having an effect on B. An entity corresponds to any biological type of entity as long as a mass is measurable. A characteristic corresponds to a particular specificity of an entity (e.g., phenotype, shape, size).",
404,RO.0002567,biomechanically related to,A relation that holds between elements of a musculoskeletal system or its analogs.,
405,RO.0002568,has muscle antagonist,"m1 has_muscle_antagonist m2 iff m1 has_muscle_insertion s, m2 has_muscle_insection s, m1 acts in opposition to m2, and m2 is responsible for returning the structure to its initial position.",
406,RO.0002569,has branching part,inverse of branching part of,
410,RO.0002573,has modifier,A relation that holds between an attribute or a qualifier and another attribute.,
413,RO.0002578,directly regulates,p directly regulates q iff p is immediately causally upstream of q and p regulates q.,
426,RO.0002596,capable of regulating,"Holds between c and p if and only if c is capable of some activity a, and a regulates p.",
432,RO.0002607,is marker for,"c is marker for d iff the presence or occurrence of d is correlated with the presence of occurrence of c, and the observation of c is used to infer the presence or occurrence of d. Note that this does not imply that c and d are in a direct causal relationship, as it may be the case that there is a third entity e that stands in a direct causal relationship with c and d.",
434,RO.0002610,correlated with,"A relationship that holds between two entities, where the entities exhibit a statistical dependence relationship. The entities may be statistical variables, or they may be other kinds of entities such as diseases, chemical entities or processes.",
436,RO.0002615,has model,Inverse of is-model-of,
438,RO.0002618,visits,,
439,RO.0002619,visited by,,
440,RO.0002622,visits flowers of,,
442,RO.0002624,lays eggs in,,
444,RO.0002626,kills,,
445,RO.0002627,is killed by,,
446,RO.0002629,directly positively regulates,"p directly positively regulates q iff p is immediately causally upstream of q, and p positively regulates q.",
447,RO.0002630,directly negatively regulates,"p directly negatively regulates q iff p is immediately causally upstream of q, and p negatively regulates q.",
449,RO.0002633,has ectoparasite,inverse of ectoparasite of,
451,RO.0002635,has endoparasite,,
453,RO.0002637,has mesoparasite,inverse of mesoparasite of,
455,RO.0002639,has intercellular endoparasite,inverse of intercellular endoparasite of,
457,RO.0002641,has intracellular endoparasite,inverse of intracellular endoparasite of,
458,RO.0002801,co-roosts with,"Two or more individuals sharing the same roost site (cave, mine, tree or tree hollow, animal burrow, leaf tent, rock crack, space in man-made structure, etc.). Individuals that are sharing a communal roost may be said to be co-roosting. The roost may be either a day roost where the individuals rest during daytime hours, or a night roost where individuals roost to feed, groom, or rest in between flights and/or foraging bouts.  Communal roosting as thus defined is an umbrella term within which different specialized types -- which are not mutually exclusive -- may be recognized based on taxonomy and the temporal and spatial relationships of the individuals that are co-roosting.",
460,RO.0002803,has reservoir host,inverse of reservoir host of,
461,RO.0003001,produced by,a produced_by b iff some process that occurs_in b has_output a.,
462,RO.0003002,represses expression of,Holds between entity A (a transcription factor) and a nucleic acid B if and only if A down-regulates the expression of B. The nucleic acid can be a gene or an mRNA.,
463,RO.0003003,increases expression of,Holds between entity A (a transcription factor) and nucleic acid B if and only if A up-regulates the expression of B. The nucleic acid can be a gene or mRNA.,
466,RO.0003303,causes condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some causal role for the condition.",
467,RO.0003304,contributes to condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some contributing role that influences the condition.",
470,RO.0003307,ameliorates condition,"A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the presence of the entity reduces or eliminates some or all aspects of the condition.",
471,RO.0003308,correlated with condition,A relationship between an entity and a condition (phenotype or disease) with which it exhibits a statistical dependence relationship.,
472,RO.0003309,exacerbates condition,"A relationship between an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) and a condition (a phenotype or disease), where the presence of the entity worsens some or all aspects of the condition.",
473,RO.0003310,condition ameliorated by,"A relationship between a condition (a phenotype or disease) and an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) where some or all aspects of the condition are reduced or eliminated by the presence of the entity.",
